Timestamp,Which of these is your primary school?,What is your favorite class?,What genre of movies is your favorite?,How many hours did you sleep last night?,What would you guess is the average cost for a gallon of gas nationally?,How many siblings do you have?,Would you consider Elon a top choice for college?,Treat this question like a coin flip. Choose the option that appears first.,The U.S. Census Bureau conducts an annual survey called the American Community Survey. Would you guess that more or less than 95% of people respond to their survey?,What percentage of people would you estimate respond to the American Community Survey? Enter a whole number for your response (e.g. 95),"How much do you think the government spent conducting the 2020 U.S. Census? (e.g. $100,000,000,000)",What is your favorite type of dessert food?,Which North Carolina school's sports teams do you support most?,How important is it to you that your high school adds additional elective classes?,The U.S. Census Bureau conducts an annual survey called the American Community Survey. Would you guess that more or less than 5% of people respond to their survey?,What percentage of people would you estimate respond to the American Community Survey? Enter a whole number for your response (e.g. 5),"How much do you think the government spent conducting the 2020 U.S. Census? (e.g. $10,000,000)",What is your favorite type of dessert food?,Which North Carolina school's sports teams do you support most?,"How important is it to you that your high school adds additional elective classes? (such as Evolutionary Neurobiology, Complex Analysis, Intellectual History, etc.)",Do you think this survey was too long or are there changes you would make to it?
10/6/2023 9:43:44,Elon U,Music Technology,Horror,4 - 6,$3.40,,Yes,Tails,,,,,,,More than 5% of people respond,10,"$20,000,000",Tiramisu,Elon,5,No
10/6/2023 10:22:38,Elon U,Statistics 1100,Rom Com,4 - 6,4 dolla,1,Yes,Heads,Less than 95% of people respond,60,$150B,Cookies,UNC,4,,,,,,,No
10/6/2023 10:22:44,Elon U,Gateway to Business,Drama,4 - 6,3.5,2,Absolutely not,Heads,Less than 95% of people respond,67,"1,000,000,000",Pie,UNC,4,,,,,,,No
10/6/2023 10:23:50,Elon U,Lab Intro to Cell Bio ,Comedy,6 - 8,$3.70,1,Yes,Heads,Less than 95% of people respond,25,"20,000,000",Pie,Duke,5,,,,,,,Yes
10/6/2023 10:24:40,Elon U,Stats,psychological thriller ,6 - 8,3.5,3,Yes,Tails,,,,,,,Less than 5% of people respond,3,"$1,000,000",brownie,NC State,2,No
10/6/2023 10:25:04,Elon U,DAN1810- Ballet,Comedy,6 - 8,3.4,1,I think so,Heads,Less than 95% of people respond,76,"2,500,000",Cake,UNC,5,,,,,,,Yes
10/6/2023 10:25:46,Elon U,Religion and power,comedy,4 - 6,3.99,1,I think so,Tails,,,,,,,More than 5% of people respond,7,"10,000,000",ice cream,Duke,5,No
10/6/2023 10:25:57,Elon U,Stats,Musical,6 - 8,3.4,1,Yes,Heads,More than 95% of people respond,90,"10,000,000",Cookies,Duke,5,,,,,,,No
10/6/2023 10:25:57,Elon U,Sport Management,Thriller,6 - 8,$3.79,1,Yes,Tails,,,,,,,Less than 5% of people respond,2,"$300,000",TruFruit chocolate covered strawberries,NC State,4,Yes
10/6/2023 10:26:04,Elon U,Global Experience,Animated,6 - 8,$3.10,,Yes,Heads,Less than 95% of people respond,50,"8,000,000",Cookies,Duke,4,,,,,,,Yes
10/6/2023 10:26:06,Elon U,Statistics,Comedy,6 - 8,$4.25,2,Yes,Heads,Less than 95% of people respond,25,"25,000",Cookies,UNC,5,,,,,,,No
10/6/2023 10:26:08,Elon U,Sociology,Action comedy,6 - 8,5,2,Probably,Heads,Less than 95% of people respond,70,"$20,000,000,000",Cookies,Duke,5,,,,,,,Yes
10/6/2023 10:26:16,Elon U,"Women, Gender, & Sexuality Studies",Dystopian,8 - 10,3.77,1,Yes,Heads,Less than 95% of people respond,70,"$800,000",Cookies,UNC,4,,,,,,,No
10/6/2023 10:26:24,Elon U,COR 1100,Action ,6 - 8,$5.96,1,Yes,Heads,Less than 95% of people respond,67,"20,000,000",Cake,Duke,4,,,,,,,No
